Name,Description,Visibility,Created,Workspaces,"External Organizations","Last active","Total membership","Full Members",Guests,"Messages posted","Messages posted by members","Members who posted","Change in members who posted","Members who viewed","Reactions added","Members who reacted","Huddles initiated"
1engg-tech-pub,"Technical Publication from One Engineering Subject Matter Experts",public,"Jul 8, 2026",Kimbal,,"Jul 10, 2026",16,16,0,23,4,1,,15,0,0,0
all-kimbal,"This channel is for workspace-wide communication and announcements. All members are in this channel.",public,"Jul 3, 2026",Kimbal,,"Jul 9, 2026",720,720,0,10,2,1,,335,7,7,0
all-kimbal-kmp,,public,"Jul 5, 2026",Kimbal,,,6,6,0,4,0,0,,4,0,0,0
all-kimbal-naraina,,public,"Jul 5, 2026",Kimbal,,,11,11,0,8,0,0,,10,0,0,0
allthings-security,,public,"Jul 7, 2026",Kimbal,,,2,2,0,2,0,0,,2,0,0,0
automation-in-action,"What you'll find here:
Factory visits and technology tours
Automation and digitalization at Kimbal
Smart manufacturing, robotics, AI, MES, WMS &amp; ASRS
Global best practices and emerging technologies.",public,"Jul 7, 2026",Kimbal,,"Jul 7, 2026",402,402,0,21,1,1,,215,14,13,0
cellular,,public,"Jul 7, 2026",Kimbal,,,5,5,0,4,0,0,,4,0,0,0
devops,,public,"Jul 7, 2026",Kimbal,,"Jul 10, 2026",13,13,0,32,22,5,,10,3,2,0
enms,,public,"Jul 7, 2026",Kimbal,,"Jul 8, 2026",7,7,0,10,2,1,,6,0,0,0
kconnect,,public,"Jul 7, 2026",Kimbal,,,18,18,0,16,0,0,,15,0,0,0
kmesh,,public,"Jul 7, 2026",Kimbal,,"Jul 10, 2026",12,12,0,16,5,2,,10,1,1,0
l2c,,public,"Jul 9, 2026",Kimbal,,"Jul 10, 2026",1,1,0,26,23,1,,1,0,0,0
members-sg-anson,,public,"Jul 7, 2026",Kimbal,,"Jul 12, 2026",38,38,0,44,26,11,,31,13,8,0
mes_support,,public,"Jul 6, 2026",Kimbal,,,9,9,0,9,1,1,,7,0,0,0
process-engineering,,public,"Jul 6, 2026",Kimbal,,"Jul 6, 2026",3,3,0,12,1,1,,7,0,0,0
slack-implementation-support,"The channel is for Slack implementation plan with Samy Media",public,"Jul 7, 2026",Kimbal,,"Jul 9, 2026",5,5,0,10,4,2,,4,0,0,0
slack-support,"Your go-to channel for all Slack-related help — questions, issues, access requests, and how-to guidance. Post your query and the IT team or a Slack Champion will respond. For urgent IT issues, raise a ticket as usual.",public,"Jul 3, 2026",Kimbal,,"Jul 10, 2026",720,720,0,33,23,9,,172,5,5,0
spm-jnf-support,,public,"Jul 10, 2026",Kimbal,,"Jul 10, 2026",5,5,0,6,1,1,,3,0,0,0
support-meter-nic-fct-,,public,"Jul 6, 2026",Kimbal,,"Jul 10, 2026",5,5,0,7,3,2,,3,0,0,0
tattva,"Updates on Kimbal Design System releases and for possible help.",public,"Jul 9, 2026",Kimbal,,"Jul 9, 2026",1,1,0,3,0,0,,1,0,0,0
team-ehes,"this is a channel for 2.5",public,"Jul 6, 2026",Kimbal,,"Jul 6, 2026",9,9,0,11,1,1,,6,3,3,0
team-mes-dailystandup,"for daily mes standup",public,"Jul 9, 2026",Kimbal,,,1,1,0,1,0,0,,1,0,0,0
team-sanchar,,public,"Jul 6, 2026",Kimbal,,"Jul 6, 2026",3,3,0,6,1,1,,3,1,1,0
team-ta-sanchit,,public,"Jul 6, 2026",Kimbal,,"Jul 7, 2026",4,4,0,5,1,1,,3,1,1,0
test-development-engineering,,public,"Jul 6, 2026",Kimbal,,"Jul 9, 2026",6,6,0,7,2,1,,3,0,0,0
